Placement,Swiss,Country,Player,Prize,Team,Class,Tournament
2,7-2,MEX,Jonathan Barradas(Jonynho),Qualified,"['Charizard', 'Torkoal', 'Urshifu', 'Thundurus', 'Indeedee-Female', 'Hatterene']",Teams and Results,Teams and Results from the Players Cup IV Latin America Region Qualifier
3,8-1,PER,Renzo Navarro(Prro-T),Qualified,"['Amoonguss', 'Incineroar', 'Araquanid', 'Regieleki', 'Moltres-Galar', 'Landorus-Therian']",Teams and Results,Teams and Results from the Players Cup IV Latin America Region Qualifier
4,8-1,CHL,Felipe Silva(KonoZ),Qualified,"['Venusaur', 'Torkoal', 'Grimmsnarl', 'Landorus-Therian', 'Porygon2', 'Registeel']",Teams and Results,Teams and Results from the Players Cup IV Latin America Region Qualifier
5,7-2,PER,Juan Manrique(Fuqws),–,"['Whimsicott', 'Tapu-Lele', 'Urshifu', 'Thundurus-Therian', 'Spectrier', 'Mamoswine']",Teams and Results,Teams and Results from the Players Cup IV Latin America Region Qualifier
6,7-2,MEX,Daniel Núñez(Den♥),–,"['Venusaur', 'Landorus-Therian', 'Grimmsnarl', 'Rotom-Heat', 'Spectrier', 'Registeel']",Teams and Results,Teams and Results from the Players Cup IV Latin America Region Qualifier
7,7-2,PER,Gabriel Durán(Gabo),–,"['Amoonguss', 'Incineroar', 'Togekiss', 'Rotom-Heat', 'Garchomp', 'Glastrier']",Teams and Results,Teams and Results from the Players Cup IV Latin America Region Qualifier
8,7-2,CHL,Felipe Méndez(TG TR Kid),–,"['Rillaboom', 'Incineroar', 'Urshifu', 'Togekiss', 'Dragapult', 'Coalossal']",Teams and Results,Teams and Results from the Players Cup IV Latin America Region Qualifier
9,8-1,MEX,Jorge Gómez(Jorge),–,"['Rillaboom', 'Grimmsnarl', 'Urshifu', 'Celesteela', 'Spectrier', 'Coalossal']",Teams and Results,Teams and Results from the Players Cup IV Latin America Region Qualifier
10,7-2,SLV,Geovanni Polanco(g r e e n),–,"['Venusaur', 'Torkoal', 'Urshifu', 'Landorus-Therian', 'Indeedee-Female', 'Hatterene']",Teams and Results,Teams and Results from the Players Cup IV Latin America Region Qualifier
11,7-2,BRA,Jefferson Camelo(lJeff_),–,"['Kartana', 'Incineroar', 'Urshifu', 'Regieleki', 'Togekiss', 'Landorus-Therian']",Teams and Results,Teams and Results from the Players Cup IV Latin America Region Qualifier
12,7-2,PER,Sebastián Solari(☆Gato-T☆),–,"['Moltres-Galar', 'Landorus-Therian', 'Grimmsnarl', 'Regieleki', 'Spectrier', 'Registeel']",Teams and Results,Teams and Results from the Players Cup IV Latin America Region Qualifier
13,8-1,CHL,Martín Muñoz(Martincho),–,"['Rillaboom', 'Moltres-Galar', 'Urshifu', 'Clefairy', 'Dragapult', 'Coalossal']",Teams and Results,Teams and Results from the Players Cup IV Latin America Region Qualifier
14,7-2,ECU,Samuel Lucin(Samuel),–,"['Rillaboom', 'Celesteela', 'Clefairy', 'Regieleki', 'Dragapult', 'Glastrier']",Teams and Results,Teams and Results from the Players Cup IV Latin America Region Qualifier
15,7-2,PER,Orlando Luna(orlando luna),–,"['Rillaboom', 'Incineroar', 'Urshifu', 'Moltres-Galar', 'Dragapult', 'Coalossal']",Teams and Results,Teams and Results from the Players Cup IV Latin America Region Qualifier
16,7-2,MEX,Javier Loyo(Loyo),–,"['Rillaboom', 'Urshifu', 'Tapu-Fini', 'Thundurus', 'Porygon2', 'Heatran']",Teams and Results,Teams and Results from the Players Cup IV Latin America Region Qualifier
1,7-2,USA,Enrique Grimaldo(EGrim),Qualified,"['Ferrothorn', 'Incineroar', 'Tapu-Fini', 'Grimmsnarl', 'Garchomp', 'Celesteela']",Teams and Results,Teams and Results from the Players Cup IV North America Region Qualifier
2,7-2,USA,Leonard Craft(DaWoblefet),Qualified,"['Moltres-Galar', 'Landorus-Therian', 'Clefairy', 'Regieleki', 'Spectrier', 'Registeel']",Teams and Results,Teams and Results from the Players Cup IV North America Region Qualifier
3,7-2,USA,James Baek(Jamesspeed1),Qualified,"['Moltres-Galar', 'Entei', 'Grimmsnarl', 'Rotom-Wash', 'Porygon2', 'Metagross']",Teams and Results,Teams and Results from the Players Cup IV North America Region Qualifier
4,7-2,USA,Nick Sefranek(Sefranek),Qualified,"['Whimsicott', 'Incineroar', 'Tapu-Fini', 'Raikou', 'Moltres-Galar', 'Metagross']",Teams and Results,Teams and Results from the Players Cup IV North America Region Qualifier
5,7-2,USA,Drew Bliss(Drew),–,"['Whimsicott', 'Incineroar', 'Primarina', 'Regieleki', 'Grimmsnarl', 'Naganadel']",Teams and Results,Teams and Results from the Players Cup IV North America Region Qualifier
6,7-2,USA,Alexander Stubbs(ShiveringSea),–,"['Amoonguss', 'Moltres-Galar', 'Tapu-Fini', 'Regieleki', 'Dusclops', 'Glastrier']",Teams and Results,Teams and Results from the Players Cup IV North America Region Qualifier
7,8-1,USA,Marco Martinez(marsvgc),–,"['Rillaboom', 'Incineroar', 'Urshifu', 'Togekiss', 'Dragapult', 'Coalossal']",Teams and Results,Teams and Results from the Players Cup IV North America Region Qualifier
8,7-2,USA,William Wang(Maru),–,"['Rillaboom', 'Marowak-Alola', 'Blastoise', 'Togekiss', 'Urshifu', 'Stakataka']",Teams and Results,Teams and Results from the Players Cup IV North America Region Qualifier
9,9-0,USA,Sohaib Mufti(Soh),–,"['Rillaboom', 'Incineroar', 'Urshifu', 'Togekiss', 'Dragapult', 'Coalossal']",Teams and Results,Teams and Results from the Players Cup IV North America Region Qualifier
10,8-1,USA,Sam Pletcher(LuxioBro),–,"['Kartana', 'Moltres-Galar', 'Clefairy', 'Regieleki', 'Kommo-o', 'Mamoswine']",Teams and Results,Teams and Results from the Players Cup IV North America Region Qualifier
11,8-1,USA,Alex Underhill(Lexicon),–,"['Weezing', 'Incineroar', 'Urshifu', 'Regieleki', 'Togekiss', 'Landorus-Therian']",Teams and Results,Teams and Results from the Players Cup IV North America Region Qualifier
12,7-2,USA,James Evans(James),–,"['Rillaboom', 'Grimmsnarl', 'Urshifu', 'Regieleki', 'Landorus-Therian', 'Celesteela']",Teams and Results,Teams and Results from the Players Cup IV North America Region Qualifier
13,7-2,USA,Arsal Puri(Sal),–,"['Kartana', 'Incineroar', 'Urshifu', 'Regieleki', 'Clefairy', 'Dragapult']",Teams and Results,Teams and Results from the Players Cup IV North America Region Qualifier
14,7-2,USA,Aaron Brok(Clipperz1235),–,"['Rillaboom', 'Togekiss', 'Urshifu', 'Regieleki', 'Gothitelle', 'Glastrier']",Teams and Results,Teams and Results from the Players Cup IV North America Region Qualifier
15,7-2,USA,Austin Acosta(Austin),–,"['Amoonguss', 'Incineroar', 'Tapu-Fini', 'Regieleki', 'Dusclops', 'Glastrier']",Teams and Results,Teams and Results from the Players Cup IV North America Region Qualifier
16,7-2,USA,Alex Rubinoff(Inky),–,"['Venusaur', 'Torkoal', 'Indeedee-Female', 'Regieleki', 'Porygon2', 'Registeel']",Teams and Results,Teams and Results from the Players Cup IV North America Region Qualifier
1,7-2,ITA,Emanuele Briganti(BK),$200,"['Palkia', 'Incineroar', 'Amoonguss', 'Zapdos', 'Landorus-Therian', 'Stakataka']",Teams and Results,Teams and results from the World Cup Open!
2,8-1,DEU,Yuki Safari(Yuki),$100,"['Calyrex-Shadow-Rider', 'Incineroar', 'Rillaboom', 'Whimsicott', 'Urshifu', 'Nihilego']",Teams and Results,Teams and results from the World Cup Open!
3,7-2,ISR,Enosh Shachar(Enosh),$50,"['Calyrex-Shadow-Rider', 'Entei', 'Whimsicott', 'Tapu-Lele', 'Urshifu', 'Ditto']",Teams and Results,Teams and results from the World Cup Open!
4,7-2,ITA,Matteo Ghisini(Frost*☆),$50,"['Zacian-Crowned', 'Incineroar', 'Rillaboom', 'Regieleki', 'Urshifu', 'Landorus']",Teams and Results,Teams and results from the World Cup Open!
5,8-1,DEU,Markus Sponholz(Luna),$25,"['Kyogre', 'Incineroar', 'Tsareena', 'Regieleki', 'Tornadus', 'Naganadel']",Teams and Results,Teams and results from the World Cup Open!
6,7-2,JPN,Ko Tsukide(FRANXX),$25,"['Xerneas', 'Incineroar', 'Amoonguss', 'Regieleki', 'Urshifu', 'Entei']",Teams and Results,Teams and results from the World Cup Open!
7,7-2,CHN,Wang Bingjie(kokoro),$25,"['Palkia', 'Entei', 'Rillaboom', 'Landorus-Therian', 'Indeedee-Female', 'Stakataka']",Teams and Results,Teams and results from the World Cup Open!
8,7-2,ITA,Roberto Parente(Roberto),$25,"['Zacian-Crowned', 'Incineroar', 'Rillaboom', 'Regieleki', 'Urshifu', 'Landorus']",Teams and Results,Teams and results from the World Cup Open!
9,8-1,MEX,Mauricio León(Mau),–,"['Calyrex-Shadow-Rider', 'Incineroar', 'Rillaboom', 'Regieleki', 'Ditto', 'Mienshao']",Teams and Results,Teams and results from the World Cup Open!
10,7-2,ITA,Luigi Auggiero(Luigi),–,"['Eternatus', 'Incineroar', 'Rillaboom', 'Tapu-Koko', 'Suicune', 'Volcarona']",Teams and Results,Teams and results from the World Cup Open!
11,7-2,USA,Marco Martinez(Mars_Vgc),–,"['Zacian-Crowned', 'Incineroar', 'Rillaboom', 'Regieleki', 'Urshifu', 'Landorus']",Teams and Results,Teams and results from the World Cup Open!
12,7-2,SKR,Cha Seung-hoon(Blue),–,"['Calyrex-Shadow-Rider', 'Entei', 'Whimsicott', 'Nihilego', 'Indeedee-Female', 'Mienshao']",Teams and Results,Teams and results from the World Cup Open!
13,7-2,ITA,Giulio Tarlao(Giulio),–,"['Xerneas', 'Incineroar', 'Gastrodon', 'Moltres-Galar', 'Volcarona', 'Stakataka']",Teams and Results,Teams and results from the World Cup Open!
14,7-2,CAN,Justin Miranda-Radbord(Reew),–,"['Zacian-Crowned', 'Incineroar', 'Rillaboom', 'Thundurus', 'Urshifu', 'Landorus']",Teams and Results,Teams and results from the World Cup Open!
15,7-2,USA,Kestrel Strom(Kistarl),–,"['Xerneas', 'Incineroar', 'Rillaboom', 'Regieleki', 'Urshifu', 'Amoonguss']",Teams and Results,Teams and results from the World Cup Open!
16,9-0,PAN,Gabriel Cedeño(Gabuu’),–,"['Kyogre', 'Incineroar', 'Tsareena', 'Shedinja', 'Urshifu', 'Tornadus']",Teams and Results,Teams and results from the World Cup Open!
17,8-1,USA,Brady Smith(bsmiffy),–,"['Zacian-Crowned', 'Incineroar', 'Rillaboom', 'Regieleki', 'Urshifu', 'Landorus-Therian']",Teams and Results,Teams and results from the World Cup Open!
18,8-1,ITA,Sali Resuli(Alessandra),–,"['Reshiram', 'Incineroar', 'Rillaboom', 'Regieleki', 'Urshifu', 'Aegislash']",Teams and Results,Teams and results from the World Cup Open!
19,8-1,CAN,Fiona Szymkiewicz(Yoshi&Lugia),–,"['Eternatus', 'Volcarona', 'Rillaboom', 'Suicune', 'Urshifu', 'Landorus-Therian']",Teams and Results,Teams and results from the World Cup Open!
20,7-2,CHL,Michael Navas(SR.Pokemon),–,"['Zacian-Crowned', 'Volcarona', 'Rillaboom', 'Regieleki', 'Gothitelle', 'Mienshao']",Teams and Results,Teams and results from the World Cup Open!
21,7-2,URY,Agustín Marinucci(Reiken),–,"['Zacian-Crowned', 'Incineroar', 'Rillaboom', 'Regidrago', 'Milotic', 'Landorus']",Teams and Results,Teams and results from the World Cup Open!
22,7-2,JPN,Masahide Tamaki(masa),–,"['Calyrex-Shadow-Rider', 'Incineroar', 'Rillaboom', 'Regieleki', 'Mienshao', 'Landorus']",Teams and Results,Teams and results from the World Cup Open!
23,7-2,ITA,Lorenzo Catallozzi(Lorisaur),–,"['Eternatus', 'Incineroar', 'Rillaboom', 'Tapu-Koko', 'Suicune', 'Volcarona']",Teams and Results,Teams and results from the World Cup Open!
24,7-2,MEX,Abraham Orta(STATS*Abby),–,"['Xerneas', 'Incineroar', 'Indeedee-Female', 'Torkoal', 'Mienshao', 'Entei']",Teams and Results,Teams and results from the World Cup Open!
25,7-2,CAN,Neil Patel(Neil),–,"['Zacian-Crowned', 'Volcarona', 'Rillaboom', 'Regieleki', 'Indeedee-Female', 'Urshifu']",Teams and Results,Teams and results from the World Cup Open!
26,7-2,ITA,Andrea Pagano(Paghy),–,"['Xerneas', 'Incineroar', 'Rillaboom', 'Volcarona', 'Indeedee-Female', 'Urshifu']",Teams and Results,Teams and results from the World Cup Open!
27,7-2,CAN,Jeffrey Bird(Jeffrey),–,"['Kyogre', 'Incineroar', 'Tsareena', 'Regieleki', 'Tornadus', 'Regidrago']",Teams and Results,Teams and results from the World Cup Open!
28,7-2,CRI,David Rodríguez(davidness),–,"['Eternatus', 'Incineroar', 'Rillaboom', 'Scizor', 'Grimmsnarl', 'Landorus']",Teams and Results,Teams and results from the World Cup Open!
29,7-2,JPN,Yusuke Ikeda(ソード),–,"['Calyrex-Ice-Rider', 'Incineroar', 'Tapu-Fini', 'Regieleki', 'Dusclops', 'Landorus']",Teams and Results,Teams and results from the World Cup Open!
30,7-2,ESP,Elías El Hani(Elias),–,"['Kyogre', 'Incineroar', 'Tsareena', 'Regieleki', 'Shedinja', 'Tornadus']",Teams and Results,Teams and results from the World Cup Open!
31,7-2,USA,David Oakley(TacCat),–,"['Calyrex-Shadow-Rider', 'Incineroar', 'Rillaboom', 'Regieleki', 'Urshifu', 'Nihilego']",Teams and Results,Teams and results from the World Cup Open!
32,7-2,IRL,Brian Collins(Brian),–,"['Kyogre', 'Incineroar', 'Tsareena', 'Tornadus', 'Gothitelle', 'Stakataka']",Teams and Results,Teams and results from the World Cup Open!
1,5-12-2,MYS,Kevin Ngim(Kepp),Qualified,"['Amoonguss', 'Incineroar', 'Tapu-Fini', 'Regieleki', 'Moltres-Galar', 'Landorus-Therian']",Teams and Results,Teams and Results from the Asia Players Cup Malaysia Qualifier
2,4-23-1,MYS,Leong Yew Sun(sunnyeong),–,"['Rillaboom', 'Clefairy', 'Urshifu', 'Regieleki', 'Spectrier', 'Glastrier']",Teams and Results,Teams and Results from the Asia Players Cup Malaysia Qualifier
3,5-14-0,MYS,Zen Soo(Zen),–,"['Rillaboom', 'Incineroar', 'Urshifu', 'Moltres-Galar', 'Dragapult', 'Coalossal']",Teams and Results,Teams and Results from the Asia Players Cup Malaysia Qualifier
4,5-12-2,MYS,Yong Wai Seng(Seng),–,"['Rillaboom', 'Incineroar', 'Blastoise', 'Thundurus', 'Registeel', 'Landorus-Therian']",Teams and Results,Teams and Results from the Asia Players Cup Malaysia Qualifier
5,5-13-1,MYS,Lewis Foong(Lewisyikho),–,"['Amoonguss', 'Incineroar', 'Tapu-Fini', 'Regieleki', 'Moltres-Galar', 'Landorus-Therian']",Teams and Results,Teams and Results from the Asia Players Cup Malaysia Qualifier
6,4-23-1,MYS,Lee Chuin(LC),–,"['Tsareena', 'Landorus-Therian', 'Urshifu', 'Tornadus', 'Duraludon', 'Nihilego']",Teams and Results,Teams and Results from the Asia Players Cup Malaysia Qualifier
7,4-23-1,MYS,Wan Aqil(Wayne Akill),–,"['Whimsicott', 'Marowak-Alola', 'Hatterene', 'Indeedee-Female', 'Naganadel', 'Zapdos-Galar']",Teams and Results,Teams and Results from the Asia Players Cup Malaysia Qualifier
8,4-22-2,MYS,Jien Lim(Astraea),–,"['Rillaboom', 'Togekiss', 'Urshifu', 'Regieleki', 'Gothitelle', 'Glastrier']",Teams and Results,Teams and Results from the Asia Players Cup Malaysia Qualifier
9,6-02-2,MYS,Yong Wai Hou(JoJo),–,"['Grimmsnarl', 'Moltres-Galar', 'Tapu-Fini', 'Porygon2', 'Spectrier', 'Metagross']",Teams and Results,Teams and Results from the Asia Players Cup Malaysia Qualifier
10,4-22-2,MYS,Stephen Tan(stez),–,"['Rillaboom', 'Incineroar', 'Blastoise', 'Thundurus', 'Registeel', 'Landorus-Therian']",Teams and Results,Teams and Results from the Asia Players Cup Malaysia Qualifier
11,4-22-2,MYS,Lim Shao Theng(Dudufung),–,"['Venusaur', 'Torkoal', 'Grimmsnarl', 'Regieleki', 'Mamoswine', 'Charizard']",Teams and Results,Teams and Results from the Asia Players Cup Malaysia Qualifier
12,5-11-3,MYS,Ismat Myron(ismatbeg),–,"['Sableye', 'Cinderace', 'Urshifu', 'Regieleki', 'Regidrago', 'Ninetales-Alola']",Teams and Results,Teams and Results from the Asia Players Cup Malaysia Qualifier
13,5-11-3,MYS,Jasdil Singh Deo(Void),–,"['Grimmsnarl', 'Incineroar', 'Spectrier', 'Porygon2', 'Garchomp', 'Celesteela']",Teams and Results,Teams and Results from the Asia Players Cup Malaysia Qualifier
14,4-21-3,MYS,Azri Firman(MrTsukkomi),–,"['Rillaboom', 'Incineroar', 'Urshifu', 'Moltres-Galar', 'Dragapult', 'Coalossal']",Teams and Results,Teams and Results from the Asia Players Cup Malaysia Qualifier
15,4-21-3,MYS,Anaih Saiyoo,–,"['Grimmsnarl', 'Incineroar', 'Tapu-Fini', 'Thundurus', 'Cresselia', 'Metagross']",Teams and Results,Teams and Results from the Asia Players Cup Malaysia Qualifier
16,4-20-4,MYS,Aiman Ishak(Aiman),–,"['Rillaboom', 'Marowak-Alola', 'Tapu-Fini', 'Comfey', 'Moltres-Galar', 'Landorus-Therian']",Teams and Results,Teams and Results from the Asia Players Cup Malaysia Qualifier
1,5-13-1,PHL,Jeremy L. delos Santos(Firaja),Qualified,"['Grimmsnarl', 'Moltres-Galar', 'Registeel', 'Regieleki', 'Spectrier', 'Landorus-Therian']",Teams and Results,Teams and Results from the Asia Players Cup Philippines Qualifier
2,4-23-1,PHL,James A. Credo(James),–,"['Amoonguss', 'Incineroar', 'Rotom-Wash', 'Porygon2', 'Togekiss', 'Glastrier']",Teams and Results,Teams and Results from the Asia Players Cup Philippines Qualifier
3,5-12-2,PHL,Mark J. Mayuga(Mjmyg),–,"['Amoonguss', 'Incineroar', 'Tapu-Fini', 'Regieleki', 'Moltres-Galar', 'Landorus-Therian']",Teams and Results,Teams and Results from the Asia Players Cup Philippines Qualifier
4,6-02-2,PHL,Francis Tai(Tai),–,"['Sableye', 'Cinderace', 'Urshifu', 'Regieleki', 'Regidrago', 'Ninetales-Alola']",Teams and Results,Teams and Results from the Asia Players Cup Philippines Qualifier
5,5-14-0,PHL,Ssen Galanto(ssen),–,"['Rillaboom', 'Incineroar', 'Urshifu', 'Togekiss', 'Dragapult', 'Coalossal']",Teams and Results,Teams and Results from the Asia Players Cup Philippines Qualifier
6,5-13-1,PHL,Mark Abayon(Dabi),–,"['Grimmsnarl', 'Moltres-Galar', 'Registeel', 'Regieleki', 'Spectrier', 'Landorus-Therian']",Teams and Results,Teams and Results from the Asia Players Cup Philippines Qualifier
7,4-23-1,PHL,Rap Perez(rap),–,"['Rillaboom', 'Incineroar', 'Urshifu', 'Registeel', 'Moltres-Galar', 'Coalossal']",Teams and Results,Teams and Results from the Asia Players Cup Philippines Qualifier
8,4-22-2,PHL,Patrick G. Lozano(gio4778),–,"['Rillaboom', 'Clefairy', 'Urshifu', 'Regieleki', 'Spectrier', 'Glastrier']",Teams and Results,Teams and Results from the Asia Players Cup Philippines Qualifier
9,4-22-2,PHL,Enrico Comentan(AlphaToronado),–,"['Venusaur', 'Torkoal', 'Hatterene', 'Riolu', 'Mimikyu', 'Cobalion']",Teams and Results,Teams and Results from the Asia Players Cup Philippines Qualifier
10,4-22-2,PHL,Patrick J. Cabangin(Paaattt),–,"['Venusaur', 'Incineroar', 'Urshifu', 'Thundurus', 'Porygon2', 'Torkoal']",Teams and Results,Teams and Results from the Asia Players Cup Philippines Qualifier
11,4-22-2,PHL,Himig Marcos(KevinSky),–,"['Rillaboom', 'Incineroar', 'Lapras', 'Luxray', 'Dracovish', 'Braviary']",Teams and Results,Teams and Results from the Asia Players Cup Philippines Qualifier
12,4-21-3,PHL,Panda,–,"['Reuniclus', 'Torkoal', 'Hatterene', 'Indeedee-Female', 'Dusclops', 'Rhyperior']",Teams and Results,Teams and Results from the Asia Players Cup Philippines Qualifier
13,5-11-3,PHL,Elden Rocamora(Eyldeynn),–,"['Seismitoad', 'Entei', 'Politoed', 'Tapu-Koko', 'Salamence', 'Metagross']",Teams and Results,Teams and Results from the Asia Players Cup Philippines Qualifier
14,4-20-2,PHL,Kurisu,–,"['Venusaur', 'Incineroar', 'Mimikyu', 'Torkoal', 'Dusclops', 'Glastrier']",Teams and Results,Teams and Results from the Asia Players Cup Philippines Qualifier
15,4-20-2,PHL,Nimiel Catipon(leimin),–,"['Rillaboom', 'Incineroar', 'Urshifu', 'Moltres-Galar', 'Dragapult', 'Coalossal']",Teams and Results,Teams and Results from the Asia Players Cup Philippines Qualifier
16,4-2N/A,PHL,Neil Rivera(Neil),–,"['Porygon2', 'Incineroar', 'Tapu-Fini', 'Togedemaru', 'Moltres-Galar', 'Landorus-Therian']",Teams and Results,Teams and Results from the Asia Players Cup Philippines Qualifier
1,3-23-1,SGP,Brian Soh(AsadaShinoSan),Qualified,"['Kartana', 'Incineroar', 'Urshifu', 'Thundurus', 'Garchomp', 'Togekiss']",Teams and Results,Teams and Results from the Asia Players Cup Singapore Qualifier
2,3-23-1,SGP,Nelvins Ng(Celes),–,"['Rillaboom', 'Dragapult', 'Urshifu', 'Zapdos', 'Mimikyu', 'Glastrier']",Teams and Results,Teams and Results from the Asia Players Cup Singapore Qualifier
3,3-23-1,SGP,Jude Lee(kaisa messiah),–,"['Rillaboom', 'Incineroar', 'Urshifu', 'Celesteela', 'Grimmsnarl', 'Coalossal']",Teams and Results,Teams and Results from the Asia Players Cup Singapore Qualifier
4,3-22-2,SGP,Matthew Hui(Luchist),–,"['Landorus-Therian', 'Moltres-Galar', 'Grimmsnarl', 'Regieleki', 'Spectrier', 'Registeel']",Teams and Results,Teams and Results from the Asia Players Cup Singapore Qualifier
5,2-34-0,SGP,Melvin Keh(Shaman),–,"['Rillaboom', 'Incineroar', 'Tapu-Fini', 'Togekiss', 'Dragapult', 'Coalossal']",Teams and Results,Teams and Results from the Asia Players Cup Singapore Qualifier
6,4-13-1,CHN,Xi Xiangyu(moma),–,"['Rillaboom', 'Clefairy', 'Urshifu', 'Zapdos', 'Spectrier', 'Glastrier']",Teams and Results,Teams and Results from the Asia Players Cup Singapore Qualifier
7,3-22-2,SGP,Shaun Tan(SonicSEA),–,"['Rillaboom', 'Rotom-Heat', 'Urshifu', 'Comfey', 'Moltres-Galar', 'Metagross']",Teams and Results,Teams and Results from the Asia Players Cup Singapore Qualifier
8,4-12-2,SGP,Yoko Taguma(yoko),–,"['Ferrothorn', 'Incineroar', 'Lapras', 'Regieleki', 'Garchomp', 'Togekiss']",Teams and Results,Teams and Results from the Asia Players Cup Singapore Qualifier
9,5-02-2,SGP,Evan Weng(evansmoakvgc),–,"['Landorus-Therian', 'Dragapult', 'Sylveon', 'Thundurus', 'Cresselia', 'Stakataka']",Teams and Results,Teams and Results from the Asia Players Cup Singapore Qualifier
10,4-12-2,SGP,Kester Teh(tehdrink),–,"['Lilligant', 'Torkoal', 'Hatterene', 'Indeedee-Female', 'Mimikyu', 'Ferrothorn']",Teams and Results,Teams and Results from the Asia Players Cup Singapore Qualifier
11,4-12-2,SGP,Zachary Kelly(Zeal),–,"['Rillaboom', 'Incineroar', 'Urshifu', 'Togekiss', 'Dragapult', 'Coalossal']",Teams and Results,Teams and Results from the Asia Players Cup Singapore Qualifier
12,3-21-3,SGP,Martin Tan(mewmart),–,"['Kartana', 'Incineroar', 'Urshifu', 'Thundurus', 'Garchomp', 'Togekiss']",Teams and Results,Teams and Results from the Asia Players Cup Singapore Qualifier
13,3-21-3,PHL,Andrew Yap(Kaizen),–,"['Amoonguss', 'Incineroar', 'Urshifu', 'Regieleki', 'Dragapult', 'Togekiss']",Teams and Results,Teams and Results from the Asia Players Cup Singapore Qualifier
14,3-21-2,SGP,Rayland Low(Hibernated_Bear),–,"['Rillaboom', 'Arcanine', 'Urshifu', 'Whimsicott', 'Dragapult', 'Duraludon']",Teams and Results,Teams and Results from the Asia Players Cup Singapore Qualifier
15,3-20-3,SGP,Ronald Seet(Sanniih),–,"['Whimsicott', 'Blacephalon', 'Tapu-Lele', 'Xurkitree', 'Dusclops', 'Glastrier']",Teams and Results,Teams and Results from the Asia Players Cup Singapore Qualifier
16,3-2N/A,SGP,Ervin Tan(Ervin Tan),–,"['Gothitelle', 'Incineroar', 'Urshifu', 'Regieleki', 'Regidrago', 'Glastrier']",Teams and Results,Teams and Results from the Asia Players Cup Singapore Qualifier
1,7-04-0,THA,Chaiyawat Traiwichcha(Nontaro),Qualified,"['Venusaur', 'Rotom-Heat', 'Grimmsnarl', 'Registeel', 'Spectrier', 'Landorus-Therian']",Teams and Results,Teams and Results from the Asia Players Cup Thailand Qualifier
2,6-13-1,THA,Jirawiwat Thitasiri(Karfeteria),Qualified,"['Rillaboom', 'Clefairy', 'Urshifu', 'Regieleki', 'Spectrier', 'Glastrier']",Teams and Results,Teams and Results from the Asia Players Cup Thailand Qualifier
3,5-23-1,THA,KKP_desuyo,–,"['Kartana', 'Incineroar', 'Tapu-Fini', 'Regieleki', 'Moltres-Galar', 'Landorus-Therian']",Teams and Results,Teams and Results from the Asia Players Cup Thailand Qualifier
4,5-23-1,THA,Noppasorn Tangkasem(Zora),–,"['Kartana', 'Weavile', 'Inteleon', 'Zapdos', 'Spectrier', 'Coalossal']",Teams and Results,Teams and Results from the Asia Players Cup Thailand Qualifier
5,4-33-1,THA,Kashina,–,"['Kartana', 'Incineroar', 'Tapu-Fini', 'Thundurus', 'Urshifu', 'Landorus-Therian']",Teams and Results,Teams and Results from the Asia Players Cup Thailand Qualifier
6,5-22-2,THA,Gunn K. Sathorn(Maletix),–,"['Rillaboom', 'Togekiss', 'Urshifu', 'Regieleki', 'Gothitelle', 'Glastrier']",Teams and Results,Teams and Results from the Asia Players Cup Thailand Qualifier
7,6-12-2,THA,Danaikrit Khampeng(M),–,"['Landorus-Therian', 'Togekiss', 'Grimmsnarl', 'Rotom-Wash', 'Entei', 'Metagross']",Teams and Results,Teams and Results from the Asia Players Cup Thailand Qualifier
8,5-22-2,THA,Tay,–,"['Venusaur', 'Torkoal', 'Grimmsnarl', 'Regieleki', 'Porygon2', 'Stakataka']",Teams and Results,Teams and Results from the Asia Players Cup Thailand Qualifier
9,5-22-2,THA,MidGuy,–,"['Rillaboom', 'Incineroar', 'Urshifu', 'Togekiss', 'Dragapult', 'Coalossal']",Teams and Results,Teams and Results from the Asia Players Cup Thailand Qualifier
10,5-22-1,THA,Toya,–,"['Rillaboom', 'Cinderace', 'Milotic', 'Indeedee', 'Whimsicott', 'Darmanitan-Galar']",Teams and Results,Teams and Results from the Asia Players Cup Thailand Qualifier
11,6-11-3,THA,P,–,"['Grimmsnarl', 'Cinderace', 'Vanilluxe', 'Arctozolt', 'Chandelure', 'Landorus']",Teams and Results,Teams and Results from the Asia Players Cup Thailand Qualifier
12,5-21-3,THA,BosStraf,–,"['Kartana', 'Incineroar', 'Tapu-Fini', 'Zapdos', 'Suicune', 'Metagross']",Teams and Results,Teams and Results from the Asia Players Cup Thailand Qualifier
13,5-21-3,THA,Mahadow,–,"['Landorus-Therian', 'Incineroar', 'Clefairy', 'Regieleki', 'Moltres-Galar', 'Excadrill']",Teams and Results,Teams and Results from the Asia Players Cup Thailand Qualifier
14,5-21-3,THA,stupidfanbot,–,"['Grimmsnarl', 'Marowak-Alola', 'Tapu-Fini', 'Gastrodon-East', 'Oranguru', 'Escavalier']",Teams and Results,Teams and Results from the Asia Players Cup Thailand Qualifier
15,5-21-3,THA,PT_LoSTZ,–,"['Landorus-Therian', 'Incineroar', 'Tapu-Fini', 'Zapdos', 'Clefairy', 'Metagross']",Teams and Results,Teams and Results from the Asia Players Cup Thailand Qualifier
